"","X.1","X","ID","ParasiteReportedName","HostReportedName","Citation","LocationName","TotalPrevalence","ParasiteCorrectedName","HostCorrectedName_Corbet","pargenera","sp","nonsp_in_gen","colsp"
"1",5,5,8771,"STLV","Allenopithecus nigroviridis","Ahuka-Mundeke et al. 2017","Mbandaka","0.409","Deltaretrovirus sp.","Allenopithecus_nigroviridis","Deltaretrovirus","sp.",FALSE,TRUE
"2",29,29,2390,"Cebidicola sp.","Alouatta belzebul","Stuart et al. 1998","UNKNOWN","NULL","Cebidicola sp.","Alouatta_belzebul","Cebidicola","sp.",FALSE,TRUE
"3",37,37,7935,"Pseudomonas sp.","Alouatta belzebul","Menezes-Costa et al. 2013","Tucurui","0.181","Pseudomonas sp.","Alouatta_belzebul","Pseudomonas","sp.",FALSE,TRUE
"4",48,48,2427,"Amblyomma sp.","Alouatta caraya","Stuart et al. 1998","ARGENTINA","0.012","Amblyomma sp.","Alouatta_caraya","Amblyomma","sp.",FALSE,TRUE
"5",71,71,2442,"Chilomastix sp.","Alouatta caraya","Stuart et al. 1998","UNKNOWN","NULL","Chilomastix sp.","Alouatta_caraya","Chilomastix","sp.",FALSE,TRUE
"6",78,78,2443,"Entamoeba sp.","Alouatta caraya","Stuart et al. 1998","BRAZIL","NULL","Entamoeba sp.","Alouatta_caraya","Entamoeba","sp.",FALSE,TRUE
"7",93,93,10393,"Mycoplasma sp.","Alouatta caraya","Cubilla et al. 2017","Bela Vista","1","Mycoplasma sp.","Alouatta_caraya","Mycoplasma","sp.",FALSE,TRUE
"8",131,131,7937,"Pseudomonas sp.","Alouatta caraya","Menezes-Costa et al. 2013","Chapada dos Guimaraes","0.175","Pseudomonas sp.","Alouatta_caraya","Pseudomonas","sp.",FALSE,TRUE
"9",137,137,8231,"Strongyloides sp.","Alouatta caraya","Santa Cruz et al. 2000","San Cayetano","NULL","Strongyloides sp.","Alouatta_caraya","Strongyloides","sp.",FALSE,TRUE
"10",138,138,8232,"Strongyloides sp.","Alouatta caraya","Santa Cruz et al. 2000","Ituzaingo","NULL","Strongyloides sp.","Alouatta_caraya","Strongyloides","sp.",FALSE,TRUE
"11",144,144,2447,"Trichomonas sp.","Alouatta caraya","Stuart et al. 1998","BRAZIL","NULL","Trichomonas sp.","Alouatta_caraya","Trichomonas","sp.",FALSE,TRUE
"12",284,284,9662,"Balantidium sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.094","Balantidium sp.","Alouatta_palliata","Balantidium","sp.",FALSE,TRUE
"13",285,285,8078,"Blastocystis","Alouatta palliata aequatorialis","Helenbrook et al. 2015","Bilsa","0.604","Blastocystis sp.","Alouatta_palliata","Blastocystis","sp.",FALSE,TRUE
"14",286,286,9663,"Blastocystis sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.604","Blastocystis sp.","Alouatta_palliata","Blastocystis","sp.",FALSE,TRUE
"15",287,287,9668,"Capillaria sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.781","Capillaria sp.","Alouatta_palliata","Capillaria","sp.",FALSE,TRUE
"16",232,232,2469,"Chilomastix sp.","Alouatta palliata","Stuart et al. 1998","PANAMA","0.12","Chilomastix sp.","Alouatta_palliata","Chilomastix","sp.",FALSE,TRUE
"17",288,288,9664,"Chilomastix sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.042","Chilomastix sp.","Alouatta_palliata","Chilomastix","sp.",FALSE,TRUE
"18",240,240,7207,"Cyclospora sp.","Alouatta palliata","Gonzalez-Hernandez 2011","Macuspana","0.029","Cyclospora sp.","Alouatta_palliata","Cyclospora","sp.",FALSE,TRUE
"19",290,290,9660,"Cyclospora sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.177","Cyclospora sp.","Alouatta_palliata","Cyclospora","sp.",FALSE,TRUE
"20",292,292,9667,"Enterobius sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.031","Enterobius sp.","Alouatta_palliata","Enterobius","sp.",FALSE,TRUE
"21",244,244,2471,"Giardia sp.","Alouatta palliata","Stuart et al. 1998","PANAMA","0.5","Giardia sp.","Alouatta_palliata","Giardia","sp.",FALSE,TRUE
"22",293,293,9666,"Iodamoeba sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.052","Iodamoeba sp.","Alouatta_palliata","Iodamoeba","sp.",FALSE,TRUE
"23",266,266,2475,"Retortamonas sp.","Alouatta palliata","Stuart et al. 1998","PANAMA","0.12","Retortamonas sp.","Alouatta_palliata","Retortamonas","sp.",FALSE,TRUE
"24",268,268,8116,"Strongyloides sp.","Alouatta palliata","Maldonado-Lopez et al. 2014","Guancaste Conservation Area","0.51","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"25",269,269,8117,"Strongyloides sp.","Alouatta palliata","Maldonado-Lopez et al. 2014","Guancaste Conservation Area","0.43","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"26",295,295,9669,"Strongyloides sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.875","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"27",331,331,8978,"Strongyloides sp.","Alouatta palliata mexicana","Cristobal-Azkarate et al 2010","Los Tuxtlas","0.917","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"28",332,332,8979,"Strongyloides sp.","Alouatta palliata mexicana","Cristobal-Azkarate et al 2010","Los Tuxtlas","0.833","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"29",333,333,8980,"Strongyloides sp.","Alouatta palliata mexicana","Cristobal-Azkarate et al 2010","Los Tuxtlas","1","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"30",271,271,2477,"Trichomonas sp.","Alouatta palliata","Stuart et al. 1998","PANAMA","0.75","Trichomonas sp.","Alouatta_palliata","Trichomonas","sp.",FALSE,TRUE
"31",521,521,2498,"Balantidium sp.","Alouatta seniculus","Stuart et al. 1998","UNKNOWN","NULL","Balantidium sp.","Alouatta_seniculus","Balantidium","sp.",FALSE,TRUE
"32",532,532,3955,"Entamoeba sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","0.583","Entamoeba sp.","Alouatta_seniculus","Entamoeba","sp.",FALSE,TRUE
"33",534,534,3956,"Enteromonas sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","0.083","Enteromonas sp.","Alouatta_seniculus","Enteromonas","sp.",FALSE,TRUE
"34",541,541,3962,"Mansonella sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","NULL","Mansonella sp.","Alouatta_seniculus","Mansonella","sp.",FALSE,TRUE
"35",538,538,3971,"Haemobartonella sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","NULL","Mycoplasma sp.","Alouatta_seniculus","Mycoplasma","sp.",FALSE,TRUE
"36",561,561,2059,"spiruid","Alouatta seniculus","Gilbert K., pers. comm.","UNKNOWN","NULL","Spirura sp.","Alouatta_seniculus","Spirura","sp.",FALSE,TRUE
"37",562,562,3957,"Strongyloides","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","0.375","Strongyloides sp.","Alouatta_seniculus","Strongyloides","sp.",FALSE,TRUE
"38",563,563,7030,"Strongyloides sp.","Alouatta seniculus","Phillips et al. 2004","Tampobata Research Center","0.313","Strongyloides sp.","Alouatta_seniculus","Strongyloides","sp.",FALSE,TRUE
"39",569,569,4002,"Trichostrongylus sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","0.042","Trichostrongylus sp.","Alouatta_seniculus","Trichostrongylus","sp.",FALSE,TRUE
"40",350,350,7855,"Ascaris sp.","Alouatta pigra","Kowalzik et al. 2010","Monkey River","NULL","Ascaris sp.","Alouatta_villosa","Ascaris","sp.",FALSE,TRUE
"41",351,351,3879,"Blastocystis sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.65","Blastocystis sp.","Alouatta_villosa","Blastocystis","sp.",FALSE,TRUE
"42",410,410,3885,"Enterobius sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.02","Enterobius sp.","Alouatta_villosa","Enterobius","sp.",FALSE,TRUE
"43",429,429,3883,"Isospora sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.1","Isospora sp.","Alouatta_villosa","Isospora","sp.",FALSE,TRUE
"44",437,437,8822,"Parabronema sp.","Alouatta pigra","Martinez-Mota et al. 2017","Escarcega","0.007","Parabronema sp.","Alouatta_villosa","Parabronema","sp.",FALSE,TRUE
"45",439,439,5724,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Calakmul","0.035","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"46",440,440,5725,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Palenque","0.035","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"47",441,441,5726,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Montes Azules","0.044","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"48",443,443,5734,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","MEXICO","0.045","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"49",447,447,5749,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Calakmul","0.125","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"50",451,451,5753,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Montes Azules","0.067","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"51",455,455,5769,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","UNKNOWN","0.125","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"52",6,6,9753,"Strongyloides sp.","Alouatta pigra","Solorzano-Garcia and Perez-Ponce de Leon 2017","Lacandona","0.04","Strongyloides sp.","Alouatta_villosa","Strongyloides","sp.",FALSE,TRUE
"53",456,456,3880,"Strongyloides sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.45","Strongyloides sp.","Alouatta_villosa","Strongyloides","sp.",FALSE,TRUE
"54",461,461,3884,"Trichostrongyloides sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.02","Trichostrongyloidea sp.","Alouatta_villosa","Trichostrongyloidea","sp.",FALSE,TRUE
"55",466,466,7854,"Trichostrongylus sp.","Alouatta pigra","Kowalzik et al. 2010","Monkey River","NULL","Trichostrongylus sp.","Alouatta_villosa","Trichostrongylus","sp.",FALSE,TRUE
"56",467,467,7853,"Trichuris spp.","Alouatta pigra","Kowalzik et al. 2010","Monkey River","NULL","Trichuris sp.","Alouatta_villosa","Trichuris","sp.",FALSE,TRUE
"57",887,887,9248,"Blastocystis sp.","Aotus azarai azari","Perea-Rodriguez et al. 2010","Estancia Guaycolec","0.264","Blastocystis sp.","Aotus_azarae","Blastocystis","sp.",FALSE,TRUE
"58",889,889,9247,"Entamoeba sp.","Aotus azarai azari","Perea-Rodriguez et al. 2010","Estancia Guaycolec","0.226","Entamoeba sp.","Aotus_azarae","Entamoeba","sp.",FALSE,TRUE
"59",890,890,9250,"Giarda sp.","Aotus azarai azari","Perea-Rodriguez et al. 2010","Estancia Guaycolec","0.075","Giardia sp.","Aotus_azarae","Giardia","sp.",FALSE,TRUE
"60",891,891,9249,"Isospora sp.","Aotus azarai azari","Perea-Rodriguez et al. 2010","Estancia Guaycolec","0.453","Isospora sp.","Aotus_azarae","Isospora","sp.",FALSE,TRUE
"61",919,919,3205,"Mansonella sp.","Aotus nancymae","Tantalean et al. 1990","Yanayacu","NULL","Mansonella sp.","Aotus_azarae","Mansonella","sp.",FALSE,TRUE
"62",892,892,9243,"Strongyloides sp.","Aotus azarai azari","Perea-Rodriguez et al. 2010","Estancia Guaycolec","0.302","Strongyloides sp.","Aotus_azarae","Strongyloides","sp.",FALSE,TRUE
"63",893,893,9245,"Taenia","Aotus azarai azari","Perea-Rodriguez et al. 2010","Estancia Guaycolec","0.019","Taenia sp.","Aotus_azarae","Taenia","sp.",FALSE,TRUE
"64",895,895,9244,"Uncinaria sp.","Aotus azarai azari","Perea-Rodriguez et al. 2010","Estancia Guaycolec","0.17","Uncinaria sp.","Aotus_azarae","Uncinaria","sp.",FALSE,TRUE
"65",1054,1054,7048,"Ascaris sp.","Aotus vociferans","Phillips et al. 2004","Tampobata Research Center","0.4","Ascaris sp.","Aotus_trivirgatus","Ascaris","sp.",FALSE,TRUE
"66",1084,1084,1168,"Cyclophyllidea","Aotus zonalis","National Parasite Collection (WWW)","Panama","NULL","Cyclophyllidea sp.","Aotus_trivirgatus","Cyclophyllidea","sp.",FALSE,TRUE
"67",1078,1078,7047,"Strongyloides sp.","Aotus vociferans","Phillips et al. 2004","Tampobata Research Center","0.2","Strongyloides sp.","Aotus_trivirgatus","Strongyloides","sp.",FALSE,TRUE
"68",1136,1136,2917,"Leptospira sp.","Ateles belzebuth","Minette 1966","COLOMBIA","NULL","Leptospira sp.","Ateles_belzebuth","Leptospira","sp.",FALSE,TRUE
"69",1147,1147,7067,"Strongyloides sp.","Ateles belzebuth chamek","Phillips et al. 2004","Tampobata Research Center","0.364","Strongyloides sp.","Ateles_belzebuth","Strongyloides","sp.",FALSE,TRUE
"70",1158,1158,1174,"Buckleyenterobius","Ateles dariensis","National Parasite Collection (WWW)","Panama","NULL","Trypanoxyuris sp.","Ateles_fusciceps","Trypanoxyuris","sp.",FALSE,TRUE
"71",1163,1163,1175,"Oxyuronema","Ateles dariensis","National Parasite Collection (WWW)","Panama","NULL","Trypanoxyuris sp.","Ateles_fusciceps","Trypanoxyuris","sp.",FALSE,TRUE
"72",1178,1178,1183,"Ascaris","Ateles geoffroy","National Parasite Collection (WWW)","Panama","NULL","Ascaris sp.","Ateles_geoffroyi","Ascaris","sp.",FALSE,TRUE
"73",1264,1264,2636,"Strongyloides sp.","Ateles paniscus chamek","Karesh et al. 1998","Noel Kampff Mercado","0.25","Strongyloides sp.","Ateles_paniscus","Strongyloides","sp.",FALSE,TRUE
"74",1363,1363,5654,"Group D Enterococcus","Avahi laniger","Junge and Louis 2002","Betampona","NULL","Enterococcus sp.","Avahi_laniger","Enterococcus","sp.",FALSE,TRUE
"75",1369,1369,8501,"Lemurostrongylus sp.","Avahi laniger","Junge et al. 2017","Ambatovy Joint Venture","0.167","Lemurostrongylus sp.","Avahi_laniger","Lemurostrongylus","sp.",FALSE,TRUE
"76",1371,1371,8726,"Norovirus GI","Avahi laniger","Zohdy et al. 2015","Ranomafana","1","Norovirus sp.","Avahi_laniger","Norovirus","sp.",FALSE,TRUE
"77",1372,1372,8727,"Norovirus GII","Avahi laniger","Zohdy et al. 2015","Ranomafana","1","Norovirus sp.","Avahi_laniger","Norovirus","sp.",FALSE,TRUE
"78",1373,1373,8503,"Parahabronema","Avahi laniger","Junge et al. 2017","Ambatovy Joint Venture","0.067","Parabronema sp.","Avahi_laniger","Parabronema","sp.",FALSE,TRUE
"79",1360,1360,5660,"Coagulase negative Staphylococcus sp.","Avahi laniger","Junge and Louis 2002","Betampona","NULL","Staphylococcus sp.","Avahi_laniger","Staphylococcus","sp.",FALSE,TRUE
"80",1663,1663,8025,"Monodontus sp.","Cacajao calvus","Goncalves et al. 2002","Japura River","NULL","Bunostomum sp.","Cacajao_calvus","Bunostomum","sp.",FALSE,TRUE
"81",1669,1669,9240,"Trypanoxyuris","Cacajao calvus ucayalii","Conga et al. 2013","Lago Preto","0.111","Trypanoxyuris sp.","Cacajao_calvus","Trypanoxyuris","sp.",FALSE,TRUE
"82",1753,1753,1202,"Sparganum","Callimico goeldii","National Parasite Collection (WWW)","BRAZIL","NULL","Sparganum sp.","Callimico_goeldii","Sparganum","sp.",FALSE,TRUE
"83",1754,1754,1203,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"84",1755,1755,1204,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"85",1756,1756,1205,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"86",1757,1757,1206,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"87",1758,1758,1207,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"88",1759,1759,1208,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"89",1760,1760,1209,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"90",1761,1761,1210,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"91",1762,1762,1211,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"92",1763,1763,1212,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"93",1764,1764,1213,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"94",1765,1765,1214,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"95",1766,1766,1215,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"96",1767,1767,1216,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"97",1768,1768,1217,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"98",1769,1769,1218,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"99",1770,1770,1219,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"100",1771,1771,1220,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"101",1772,1772,1221,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"102",1773,1773,1222,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"103",1774,1774,1223,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"104",1775,1775,1224,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"105",1776,1776,1225,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"106",1777,1777,1226,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"107",1778,1778,1227,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"108",1779,1779,1228,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"109",1780,1780,1229,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"110",1781,1781,1230,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"111",1782,1782,1231,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"112",1783,1783,1232,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"113",1784,1784,1233,"Strigea","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"114",1785,1785,1234,"Strigea sp.","Callimico goeldii","National Parasite Collection (WWW)","Unknown","NULL","Strigea sp.","Callimico_goeldii","Strigea","sp.",FALSE,TRUE
"115",1805,1805,1262,"Armillifer","Callithrix jacchus","National Parasite Collection (WWW)","BRAZIL","NULL","Armillifer sp.","Callithrix_jacchus","Armillifer","sp.",FALSE,TRUE
"116",1905,1905,9651,"Capillaria sp.","Cebus albifrons","Martin-Solano et al. 2017","Misahualli","0.133","Capillaria sp.","Cebus_albifrons","Capillaria","sp.",FALSE,TRUE
"117",1906,1906,9727,"Capillaria sp.","Cebus albifrons","Martin et al. 2018","Misahualli","0.133","Capillaria sp.","Cebus_albifrons","Capillaria","sp.",FALSE,TRUE
"118",1914,1914,9649,"Hymenolepis sp.","Cebus albifrons","Martin-Solano et al. 2017","Misahualli","0.666","Hymenolepis sp.","Cebus_albifrons","Hymenolepis","sp.",FALSE,TRUE
"119",1915,1915,9725,"Hymenolepis sp.","Cebus albifrons","Martin et al. 2018","Misahualli","0.667","Hymenolepis sp.","Cebus_albifrons","Hymenolepis","sp.",FALSE,TRUE
"120",1933,1933,7070,"Strongyloides sp.","Cebus albifrons","Phillips et al. 2004","Tampobata Research Center","0.182","Strongyloides sp.","Cebus_albifrons","Strongyloides","sp.",FALSE,TRUE
"121",1934,1934,9650,"Strongyloides sp.","Cebus albifrons","Martin-Solano et al. 2017","Misahualli","0.933","Strongyloides sp.","Cebus_albifrons","Strongyloides","sp.",FALSE,TRUE
"122",1935,1935,9726,"Strongyloides sp.","Cebus albifrons","Martin et al. 2018","Misahualli","0.933","Strongyloides sp.","Cebus_albifrons","Strongyloides","sp.",FALSE,TRUE
"123",1951,1951,7088,"Ascaris sp.","Cebus apella","Phillips et al. 2004","Tampobata Research Center","0.1","Ascaris sp.","Cebus_apella","Ascaris","sp.",FALSE,TRUE
"124",10011,10011,9857,"Ascaris sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.2","Ascaris sp.","Cebus_apella","Ascaris","sp.",FALSE,TRUE
"125",10012,10012,9858,"Ascaris sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.125","Ascaris sp.","Cebus_apella","Ascaris","sp.",FALSE,TRUE
"126",10013,10013,9859,"Ascaris sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.154","Ascaris sp.","Cebus_apella","Ascaris","sp.",FALSE,TRUE
"127",1960,1960,7080,"Entamoeba sp.","Cebus apella","Phillips et al. 2004","Tampobata Research Center","0.2","Entamoeba sp.","Cebus_apella","Entamoeba","sp.",FALSE,TRUE
"128",2014,2014,7087,"Strongyloides sp.","Cebus apella","Phillips et al. 2004","Tampobata Research Center","0.1","Strongyloides sp.","Cebus_apella","Strongyloides","sp.",FALSE,TRUE
"129",10033,10033,9820,"Strongyloides","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.125","Strongyloides sp.","Cebus_apella","Strongyloides","sp.",FALSE,TRUE
"130",10034,10034,9825,"Strongyloides","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.143","Strongyloides sp.","Cebus_apella","Strongyloides","sp.",FALSE,TRUE
"131",10035,10035,9848,"Strongyloides sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.133","Strongyloides sp.","Cebus_apella","Strongyloides","sp.",FALSE,TRUE
"132",10036,10036,9854,"Strongyloides sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.2","Strongyloides sp.","Cebus_apella","Strongyloides","sp.",FALSE,TRUE
"133",10037,10037,9855,"Strongyloides sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.25","Strongyloides sp.","Cebus_apella","Strongyloides","sp.",FALSE,TRUE
"134",10038,10038,9856,"Strongyloides sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.231","Strongyloides sp.","Cebus_apella","Strongyloides","sp.",FALSE,TRUE
"135",10039,10039,9822,"Trichuris sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.125","Trichuris sp.","Cebus_apella","Trichuris","sp.",FALSE,TRUE
"136",10041,10041,9850,"Trichuris sp.","Sapajus nigritus","Tiddi et al. 2019","Iguazú National Park","0.067","Trichuris sp.","Cebus_apella","Trichuris","sp.",FALSE,TRUE
"137",2089,2089,1279,"Oxyuroidea","Cebus capucinus","National Parasite Collection (WWW)","Panama","NULL","Oxyuroidea sp.","Cebus_capucinus","Oxyuroidea","sp.",FALSE,TRUE
"138",2100,2100,7469,"Strongyloides sp.","Cebus capucinus","Parr 2011","Santa Rosa","NULL","Strongyloides sp.","Cebus_capucinus","Strongyloides","sp.",FALSE,TRUE
"139",2101,2101,7850,"Strongyloides sp.","Cebus capucinus","Parr et al. 2013","Santa Rosa","0.759","Strongyloides sp.","Cebus_capucinus","Strongyloides","sp.",FALSE,TRUE
"140",2115,2115,1270,"Trypanoxyuris callis","Cebus capucinus","National Parasite Collection (WWW)","Panama","NULL","Trypanoxyuris sp.","Cebus_capucinus","Trypanoxyuris","sp.",FALSE,TRUE
"141",4838,4838,8307,"Blastocysis spp.","Lophocebus albigena","Chapman et al. 2012","Kibale","NULL","Blastocystis sp.","Cercocebus_albigena","Blastocystis","sp.",FALSE,TRUE
"142",4854,4854,8308,"Isospora sp.","Lophocebus albigena","Chapman et al. 2012","Kibale","NULL","Isospora sp.","Cercocebus_albigena","Isospora","sp.",FALSE,TRUE
"143",4855,4855,8217,"Oesophagostomum","Lophocebus albigena","Ghai et al. 2014a","Kibale","0.929","Oesophagostomum sp.","Cercocebus_albigena","Oesophagostomum","sp.",FALSE,TRUE
"144",4856,4856,8156,"Physaloptera sp.","Lophocebus albigena","Arlet et al. 2015","Kibale","0.55","Physaloptera sp.","Cercocebus_albigena","Physaloptera","sp.",FALSE,TRUE
"145",4866,4866,8158,"Strongyloidea sp.","Lophocebus albigena","Arlet et al. 2015","Kibale","0.45","Strongyloides sp.","Cercocebus_albigena","Strongyloides","sp.",FALSE,TRUE
"146",2470,2470,6172,"Anoplocephala sp.","Cercocebus galeritus galeritus","Mbora and McPeek 2009","Tana River","0.018","Anoplocephala sp.","Cercocebus_galeritus","Anoplocephala","sp.",FALSE,TRUE
