"","HostCorrectedName","bodymass_kg","mean_groupsize","mean_dayrange_meters","homerange_ha","social_time","SSD","diel_activity","habitat_category","locomotion","mating_system","trophic_folivore","trophic_Omnivore","realm","iucn"
"414","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"415","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"416","Nasalis_larvatus",15.75,13.82307692,748,389.85,6.1,2.005725191,"diurnal","forest","arboreal","polygynous","Folivore","Other","Asia","endangered"
"417","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"418","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"419","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"420","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"421","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"422","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"423","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"424","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"425","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"426","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"427","Cebus_albifrons",7.094285714,17.75,1820,206.6,6,1.256894049,"diurnal","forest_shrubland_wetlands","arboreal","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","Neotropics","least concern"
"428","Cebus_albifrons",7.094285714,17.75,1820,206.6,6,1.256894049,"diurnal","forest_shrubland_wetlands","arboreal","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","Neotropics","least concern"
"429","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"430","Cheirogaleus_medius",0.176666667,4.5,767.2,2.053333333,NA,0.979674797,"nocturnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","least concern"
"431","Cercopithecus_aethiops",4.704444444,25.7328,2379.125,59.85777778,6.580714286,1.505456349,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"432","Cercopithecus_aethiops",4.704444444,25.7328,2379.125,59.85777778,6.580714286,1.505456349,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"433","Gorilla_gorilla",126.25,9.244117647,989.1,1601.277778,3.6,1.915704388,"diurnal","forest","both","polygynous","Folivore","Other","M_Africa","endangered"
"434","Gorilla_gorilla",126.25,9.244117647,989.1,1601.277778,3.6,1.915704388,"diurnal","forest","both","polygynous","Folivore","Other","M_Africa","endangered"
"435","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"436","Macaca_sinica",4.48,22.65,NA,66,NA,1.715151515,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"437","Macaca_sinica",4.48,22.65,NA,66,NA,1.715151515,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"438","Macaca_sinica",4.48,22.65,NA,66,NA,1.715151515,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"439","Macaca_sinica",4.48,22.65,NA,66,NA,1.715151515,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"440","Alouatta_palliata",6.12,13.898,329.9566667,43.94333333,1,1.23068218,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","Neotropics","least concern"
"441","Macaca_sinica",4.48,22.65,NA,66,NA,1.715151515,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"442","Alouatta_villosa",6.56,6.13375,476.125,11.98,2.866666667,1.338266762,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","Neotropics","endangered"
"443","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"444","Cercopithecus_mitis",5.456666667,19.625,624.9857143,64.218,5.92,1.980874317,"diurnal","forest","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"445","Colobus_badius",7.826153846,32.94153846,666.8090909,81.54,6.75,1.328602642,"diurnal","forest_savanna_shrubland_wetlands","arboreal","multimale-multifemale","Folivore","Other","M_Africa","least concern"
"446","Cercocebus_galeritus",8.514,29.65,1653.625,200.675,11.27142857,1.745784148,"diurnal","forest","both","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"447","Cercopithecus_ascanius",3.24,21,1668,41.25,3.933333333,1.322580645,"diurnal","forest","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"448","Aotus_azarae",0.94,3.68,568.0625,6.9825,1.4,0.865789474,"nocturnal","forest_savanna","arboreal","monogamy","Non-Folivore","Other","Neotropics","least concern"
"449","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"450","Papio_cynocephalus",15.025,65,5150,1654.2,12.19,1.702702703,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"451","Cercocebus_albigena",6.6525,17.96,1137,170.8333333,6.5,1.395317425,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"452","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"453","Perodicticus_potto",0.960333333,2,2497,58.63333333,28,1.076303815,"nocturnal","forest_wetlands","arboreal","dispersed","Non-Folivore","Other","M_Africa","least concern"
"454","Otolemur_crassicaudatus",1.15,NA,NA,8.5,14,1.072072072,"nocturnal","forest_savanna_shrubland","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"455","Cercopithecus_cephus",3.365,11,1300,52.33333333,NA,1.503717472,"diurnal","forest_shrubland","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"456","Otolemur_crassicaudatus",1.15,NA,NA,8.5,14,1.072072072,"nocturnal","forest_savanna_shrubland","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"457","Papio_cynocephalus",15.025,65,5150,1654.2,12.19,1.702702703,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"458","Lemur_catta",2.21,12.81428571,1050,13.05333333,7,1,"diurnal","forest_shrubland","both","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"459","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"460","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"461","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"462","Cheirogaleus_medius",0.176666667,4.5,767.2,2.053333333,NA,0.979674797,"nocturnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","least concern"
"463","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"464","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
