"","HostCorrectedName","bodymass_kg","mean_groupsize","mean_dayrange_meters","homerange_ha","social_time","SSD","diel_activity","habitat_category","locomotion","mating_system","trophic_folivore","trophic_Omnivore","realm","iucn"
"277","Macaca_silenus",7.5,19,2000,251.8266667,7.3,1.459016393,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"278","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"279","Presbytis_cristata",7.16,20.63333333,487,43.65625,6.666666667,1.19550173,"diurnal","forest_wetlands","arboreal","polygynous","Folivore","Other","Asia","near threatened"
"280","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"281","Microcebus_rufus",0.053318182,NA,NA,0.675,NA,1.020278834,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","Madagascar","vulnerable"
"282","Microcebus_rufus",0.053318182,NA,NA,0.675,NA,1.020278834,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","Madagascar","vulnerable"
"283","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"284","Saguinus_leucopus",0.49,5.233333333,1221,34.795,10,1.008163265,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Neotropics","endangered"
"285","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"286","Presbytis_entellus",15.398,34.75,853.25,268.4458333,NA,1.318002985,"diurnal","forest_savanna_shrubland_rocky.areas","both","polygynous","Folivore","Other","Asia","least concern"
"287","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"288","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
