HostCorrectedName,habitat_forest,habitat_savanna,habitat_shrubland,habitat_grassland,habitat_wetlands,habitat_rocky_areas,habitat_desert,total_estrada_species,Centroid_Longitude,Centroid_Latitude,Total_Geographic_Area,Minimum_Longitude,Minimum_Latitude,Maximum_Longitude,Maximum_Latitude,Arthropod,Bacteria,Protozoa,Fungus,Virus,Helminth,NoEntry,Vector,Direct,Indirect,Sexual,Vertical,CloseT,Nonclose,Intermediate,Citation,TotalCount,Mean_Percent_Social_Activity_Time,Min_Social_Activity_Time_Range,Max_Social_Activity_Time_Range,trophic_folivore,trophic_Omnivore,trophic_count,pop_trend,bodymass_kg,femalebodymass_kg,malebodymass_kg,homerange_ha,mean_groupsize,Male.residual,Female.Residual,GCDI,mean_dayrange_meters,locomotion,habitat_count,habitat_category,diel_activity,iucn,realm,mating_system,parasite_type,parasite_type_count,transmission_type,transmission_type_count,lifecycle_type,lifecycle_type_count,Degree_Centrality_Integer,population_density_sqkm_mean,Population.Dens.from.Nunn.unpubl..database,SSD,homerange_mean_m2,d_index,TotalCount_imputed
Miopithecus_talapoin,1,0,0,0,1,0,0,1,16.08976736,-6.538453611,32.65452435,12.27004147,-12.82360646,20.18226162,-2.384023138,1,1,2,0,3,8,0,7,5,10,3,4,5,1,3,8,9,,,,Non-Folivore,Omnivore/Insectivore,1,,1.25,1.12,1.38,311,,0.431,-0.026,0.331,,both,2,forest_wetlands,diurnal,least concern,M_Africa,multimale-multifemale,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,9,,71.3,1.232142857,3110000,,141
Mirza_coquereli,1,0,0,0,0,0,0,2,45.34168883,-19.27732421,5.080471138,43.7587,-23.60646441,49.0542,-13.19743156,0,0,0,0,0,4,0,0,2,2,0,0,0,2,2,1,4,,,,Non-Folivore,Omnivore/Insectivore,1,D,0.303333333,0.308,0.302666667,2.72,,,,,,arboreal,1,forest,nocturnal,endangered,Madagascar,,Helminth,1,Nonclose_Intermediate,2,Direct_Indirect,2,4,,140,0.982378855,27200,,113
Nasalis_larvatus,1,0,0,0,0,0,0,1,114.0446105,0.242661897,43.80855956,109.0344086,-4.083027196,119.2298966,6.535087576,0,0,0,0,0,17,0,0,11,9,0,0,1,11,6,5,14,6.1,46,0.1,Folivore,Other,1,D,15.75,10.48,21.02,389.85,13.82307692,0.231,-0.32,0.467,748,arboreal,1,forest,diurnal,endangered,Asia,polygynous,Helminth,1,CloseT_Nonclose_Intermediate,3,Direct_Indirect,2,14,32.615,34.2,2.005725191,3898500,0.33573589,129
Nycticebus_coucang,0.857142857,0,0,0,0,0,0,7,103.1726409,12.18729731,290.4483276,89.64882986,-7.972873304,120.255248,28.36641809,0,0,2,0,1,9,0,3,6,7,0,0,2,6,3,10,10,3,,,Non-Folivore,Other,3,D,0.675,0.82225,0.695,7.651666667,2.083333333,,,,,arboreal,1,forest,nocturnal,vulnerable,Asia,dispersed,Protozoa_Virus_Helminth,3,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,10,,20,0.816906475,76516.66667,,116
Nycticebus_pygmaeus,1,0,0,0,0,0,0,1,105.4085727,18.07516606,41.21215182,100.0825576,10.31661133,109.4646378,23.49123321,,,,,,,,,,,,,,,,0,,,,,Non-Folivore,Other,1,D,0.42,0.376,0.462,9.3,1,,,,97.2,arboreal,1,forest,nocturnal,vulnerable,Asia,,,0,,0,,0,,,,1.228723404,93000,0.28246831,
Otolemur_crassicaudatus,1,1,1,0,0,0,0,1,28.20961788,-12.29394303,404.6308122,11.73232746,-30.50251878,40.84062588,1.058457136,13,0,1,0,4,2,0,5,12,14,0,0,3,10,2,8,14,14,,,Non-Folivore,Omnivore/Insectivore,1,S,1.15,1.11,1.19,8.5,,0.167,0.023,,,arboreal,3,forest_savanna_shrubland,nocturnal,least concern,M_Africa,dispersed,Arthropod_Protozoa_Virus_Helminth,4,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,14,,,1.072072072,85000,,121
Otolemur_garnettii,1,0,0,0,0,0,0,1,37.71955221,-6.355976948,46.53268945,34.05407715,-11.87689209,44.72548721,1.871276855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,Non-Folivore,Omnivore/Insectivore,2,S,0.76,0.734,0.794,14.17,,,,,2.133333333,arboreal,1,forest,nocturnal,least concern,M_Africa,dispersed,Arthropod,1,,0,,0,1,,,1.081743869,141700,0.005022486,121
Pan_paniscus,1,0,0,0,0,0,0,1,21.69677905,-1.308651299,33.7984868,16.17327776,-4.384763889,25.77096496,2.144125,2,8,3,1,12,13,0,6,31,8,3,4,23,10,1,15,21,,,,Non-Folivore,Omnivore/Insectivore,1,D,39.1,33.2,45,4000,11.23666667,-0.384,-0.645,0.233,2000,both,1,forest,diurnal,endangered,M_Africa,multimale-multifemale,Arthropod_Bacteria_Protozoa_Fungus_Virus_Helminth,6,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,21,,1.9,1.355421687,40000000,0.280249561,183
Pan_troglodytes,1,1,0,0,0,0,0,1,13.17975288,3.232848523,188.867991,-15.55643654,-8.368171723,31.97476389,13.56977309,8,19,173,4,121,142,4,70,309,148,79,78,222,214,45,110,102,14.05,9.8,11.9,Non-Folivore,Omnivore/Insectivore,1,D,53.7,47.4,60,1916.47,48.44416667,-0.049,-0.306,0.245,2225,both,2,forest_savanna,diurnal,endangered,M_Africa,multimale-multifemale,Arthropod_Bacteria_Protozoa_Fungus_Virus_Helminth_NoEntry,7,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,101,,3.5,1.265822785,19164700,0.45042651,183
Papio_anubis,1,1,1,1,0,0,0,1,19.70462043,7.868558146,644.3417123,-12.13015507,-6.653438123,43.47126493,22.29699457,23,26,54,0,16,99,0,18,134,97,31,9,93,95,61,53,70,13.2,,,Non-Folivore,Omnivore/Insectivore,1,I,16.65,12.2,21.1,2260,40.525,,,,3384.25,terrestrial,4,forest_savanna_shrubland_grassland,diurnal,least concern,M_Africa,multimale-multifemale,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,70,,15,1.729508197,22600000,0.630889296,225
